"","Paternal_Contribution_Mode","Fathers_Actual","Sample_Size","1 Observed Father","2 Observed Fathers","3 Observed Fathers","4 Observed Fathers","5 Observed Fathers"
"1","dominant50",1,32,1,NA,NA,NA,NA
"2","dominant50",2,32,0,1,NA,NA,NA
"3","dominant50",3,32,0,2e-04,0.9998,NA,NA
"4","dominant50",4,32,0,0,0.0085,0.9915,NA
"5","dominant50",5,32,0,0,7e-04,0.0544,0.9449
"6","dominant50",1,96,1,NA,NA,NA,NA
"7","dominant50",2,96,0,1,NA,NA,NA
"8","dominant50",3,96,0,0,1,NA,NA
"9","dominant50",4,96,0,0,1e-04,0.9999,NA
"10","dominant50",5,96,0,0,0,6e-04,0.9994
"11","dominant70",1,32,1,NA,NA,NA,NA
"12","dominant70",2,32,0,1,NA,NA,NA
"13","dominant70",3,32,0,0.0107,0.9893,NA,NA
"14","dominant70",4,32,0,0.0023,0.0993,0.8984,NA
"15","dominant70",5,32,0,0.0012,0.0297,0.2679,0.7011
"16","dominant70",1,96,1,NA,NA,NA,NA
"17","dominant70",2,96,0,1,NA,NA,NA
"18","dominant70",3,96,0,1e-04,0.9999,NA,NA
"19","dominant70",4,96,0,1e-04,0.0013,0.9987,NA
"20","dominant70",5,96,0,0,2e-04,0.0081,0.9917
"21","dominant90",1,32,1,NA,NA,NA,NA
"22","dominant90",2,32,0.0334,0.9666,NA,NA,NA
"23","dominant90",3,32,0.0347,0.3182,0.6471,NA,NA
"24","dominant90",4,32,0.0339,0.2271,0.4556,0.2834,NA
"25","dominant90",5,32,0.0341,0.1936,0.3784,0.306,0.0881
"26","dominant90",1,96,1,NA,NA,NA,NA
"27","dominant90",2,96,5e-04,0.9995,NA,NA,NA
"28","dominant90",3,96,5e-04,0.028,0.9715,NA,NA
"29","dominant90",4,96,5e-04,0.0102,0.1423,0.847,NA
"30","dominant90",5,96,5e-04,0.0071,0.0605,0.3018,0.63
"31","exponential",1,32,1,NA,NA,NA,NA
"32","exponential",2,32,0,1,NA,NA,NA
"33","exponential",3,32,0,2e-04,0.9998,NA,NA
"34","exponential",4,32,0,1e-04,0.0271,0.9728,NA
"35","exponential",5,32,0,1e-04,0.0164,0.2332,0.7502
"36","exponential",1,96,1,NA,NA,NA,NA
"37","exponential",2,96,0,1,NA,NA,NA
"38","exponential",3,96,0,0,1,NA,NA
"39","exponential",4,96,0,0,2e-04,0.9998,NA
"40","exponential",5,96,0,0,2e-04,0.0097,0.9902
"41","mixed_dominant",1,32,1,NA,NA,NA,NA
"42","mixed_dominant",2,32,0.0117,0.9883,NA,NA,NA
"43","mixed_dominant",3,32,0.0116,0.1103,0.8781,NA,NA
"44","mixed_dominant",4,32,0.0116,0.0764,0.1892,0.7228,NA
"45","mixed_dominant",5,32,0.0118,0.065,0.1384,0.2094,0.5754
"46","mixed_dominant",1,96,1,NA,NA,NA,NA
"47","mixed_dominant",2,96,2e-04,0.9998,NA,NA,NA
"48","mixed_dominant",3,96,2e-04,0.009,0.9908,NA,NA
"49","mixed_dominant",4,96,1e-04,0.0034,0.0491,0.9474,NA
"50","mixed_dominant",5,96,2e-04,0.0022,0.0203,0.105,0.8723
"51","random",1,32,1,NA,NA,NA,NA
"52","random",2,32,0,1,NA,NA,NA
"53","random",3,32,0,0,1,NA,NA
"54","random",4,32,0,0,5e-04,0.9995,NA
"55","random",5,32,0,0,0,0.004,0.9959
"56","random",1,96,1,NA,NA,NA,NA
"57","random",2,96,0,1,NA,NA,NA
"58","random",3,96,0,0,1,NA,NA
"59","random",4,96,0,0,0,1,NA
"60","random",5,96,0,0,0,1e-04,0.9999
